Source;Process Name;#;Sentence,Class
MadeHow;Running Shoe;1;Shoemaking is a laborintensive process and the cost of producing the many components of the running shoe reflect the skilled labor necessary,Irrelevant
MadeHow;Running Shoe;2;Each phase of production requires precision and skills and taking shortcuts to reduce costs can result in an inferior shoe,Irrelevant
MadeHow;Running Shoe;3;Some running shoes (known as sliplasted shoes) have no insole board,Irrelevant
MadeHow;Running Shoe;4;Instead the singlelayer upper is wrapped around both the top and the bottom portions of the foot,Irrelevant
MadeHow;Running Shoe;5;Most running shoes however consist of an insole board that is cemented to the upper with cement,Irrelevant
MadeHow;Running Shoe;6;This section will focus on cementlasted shoes,Irrelevant
MadeHow;Running Shoe;7;First prepared rolls of synthetic material and rolls of dyed split and suede leather (used as part of the foxing) are sent to the factory,Relevant
MadeHow;Running Shoe;8;Next die machines stamp the shoe shapes which are then cut out in cookie cutter fashion with various markings to guide the rest of the assembly,Relevant
MadeHow;Running Shoe;9;After being bundled and labeled these pieces are sent to another part of the factory where theyll be stitched,Relevant
MadeHow;Running Shoe;10;The pieces that will form the upper part of the shoe are stitched or cemented together and the lace holes punched out,Relevant
MadeHow;Running Shoe;11;These pieces include the featherline the vamp the mudguard the throat (with eyestay and lacing section) the tongue reinforcements such as the saddle or arch bandage the collar (with Achilles tendon protector) the foxing and the logo,Relevant
MadeHow;Running Shoe;12;At this point the upper looks not like a shoe but like a round hat because there is extra material—called the lasting margin —that will be folded underneath the shoe when it gets cemented to the sole,Irrelevant
MadeHow;Running Shoe;13;Next the insole is stitched to the sides of the upper,Relevant
MadeHow;Running Shoe;14;Stiffening agents are then added to the heel region and toe box and an insole board is inserted,Relevant
MadeHow;Running Shoe;15;The completed upper is heated and fitted around a last a plastic mold that forms the final shape of the shoe,Relevant
MadeHow;Running Shoe;16;An automatic lasting machine then pulls the upper down over the last,Relevant
MadeHow;Running Shoe;17;Finally a cement nozzle applies cement between the upper and insole board and the machine presses the two pieces together to bond them,Relevant
MadeHow;Running Shoe;18;The upper now has the exact shape of the finished shoe,Irrelevant
MadeHow;Running Shoe;19;Prestamped and cutout forms of the midsole and outsole or wedge are layered and cemented to the upper,Irrelevant
MadeHow;Running Shoe;20;First the outsole and midsole are aligned and bonded together,Relevant
MadeHow;Running Shoe;21;Next the outsole and midsole are aligned with the upper and placed over a heater to reactivate the cement,Relevant
MadeHow;Running Shoe;22;As the cement cools the upper and bottom are joined,Relevant
MadeHow;Running Shoe;23;The shoe is removed from the last and inspected,Relevant
MadeHow;Running Shoe;24;Any excess cement is scraped off,Relevant
MadeHow;Saddle;1;After the hide or skin is removed from the animals carcass it is soaked in drums containing lime and other chemicals to loosen the hair and outer layer of the skin,Relevant
MadeHow;Saddle;2;The inside flesh layer is also removed either by machine or hand with a special knife,Relevant
MadeHow;Saddle;3;The remaining hide is soaked in lime and bacteria solutions to remove residue,Relevant
MadeHow;Saddle;4;Next the hair is removed either by machine or manually with a special knife,Relevant
MadeHow;Saddle;5;The hide is soaked again this time in an acid solution in order to remove the lime left by the previous soakings,Relevant
MadeHow;Saddle;6;Because it is important that the fleshy side is left smooth with no loose fibers the hide undergoes a final treatment called scudding which involves hanging the hide over a beam and removing any bits of remaining hair tissue and dirt with a blunt knife,Relevant
MadeHow;Saddle;7;The hide is then thoroughly washed,Relevant
MadeHow;Saddle;8;To prevent hides from decaying they are immersed in a diluted solution of tanning acid,Relevant
MadeHow;Saddle;9;Over several months they are gradually treated with stronger solutions,Relevant
MadeHow;Saddle;10;Oil tanning or chamoising is still used sometimes by rubbing animal or fish grease into the hide,Irrelevant
MadeHow;Saddle;11;At this point the leather has two sides the flesh side and the grain side,Irrelevant
MadeHow;Saddle;12;The hides are now given to a currier who manually rubs a mixture of tallow cod oil and other greases plus wax into the leather over a period of time,Relevant
MadeHow;Saddle;13;This process gives the leather color makes it flexible durable and waterproof,Irrelevant
MadeHow;Saddle;14;The most common and popular colors for saddles are golden yellow also known as the London color and Havana which is of a darker shade,Irrelevant
MadeHow;Saddle;15;Warwick a much darker color that turns black with use is applied in the making of frizzing harness as opposed to riding tack,Irrelevant
MadeHow;Saddle;16;(This color is produced by staining with aniline dye),Irrelevant
MadeHow;Saddle;17;The currier then allows the hides to mature for several weeks,Relevant
MadeHow;Saddle;18;There are two basic saddle tree designs the rigid and spring tree both of which can accommodate either a straight or dipped seat,Irrelevant
MadeHow;Saddle;19;The modern English saddle usually has a spring tree while the Western saddle has a rigid tree,Irrelevant
MadeHow;Saddle;20;The spring tree is first shaped out of thin plywood,Relevant
MadeHow;Saddle;21;Fiberglass material (the fiberglass looks like a white screen mesh) is then stretched over this plywood and liquid resin is handbrushed or sprayed on top resulting in a very strong and durable product,Relevant
MadeHow;Saddle;22;Two springs made of lightweight steel strips are then inserted under the tree running from front to the rear along the widest part of the seat and set about two inches (five centimeters) from the outside,Relevant
MadeHow;Saddle;23;The springs provide greater comfort and more flexibility to the rider by allowing the pressure exerted through the seat bones to be transmitted to the horse,Irrelevant
MadeHow;Saddle;24;The rigid saddle tree is made by molding it out of fiberglass by combining wood shavings with resin in a mold under pressure or by creating a wooden tree around which wet leather strips are wrapped and allowed to dry,Relevant
MadeHow;Saddle;25;To reinforce the saddle tree steel plates are placed underneath the tree from the pommel (the head) to the cantle (the rear part of the saddle which projects upward),Relevant
MadeHow;Saddle;26;The steel plates are secured above and below the pommel at the head and gullet of the tree,Relevant
MadeHow;Saddle;27;The stirrup bars are attached next,Relevant
MadeHow;Saddle;28;A prongline metal bracket measuring three inches wide is bolted onto the tree below the head on the point of the tree (the forwardmost point of the saddle),Irrelevant
MadeHow;Saddle;29;Bars are made of two pieces the bar itself and a movable catch or thumb piece which is set into the bar,Irrelevant
MadeHow;Saddle;30;This catch works on the premise that it can be opened when the stirrup leather is put in position and will in theory open and release the leather if the rider should fall,Irrelevant
MadeHow;Saddle;31;The bars are always forged (hammered or squeezed into the proper shape) or cast (put into a liquid state and forced into a shaped mold) and the word forged or cast is always stamped on the bar,Irrelevant
MadeHow;Saddle;32;A typical saddle includes a seat for the rider skirts panels and flaps that protect the horse from the riders legs and vice versa a girth that fits around the stomach of the horse and keeps the saddle stable and stirrups for the riders feet,Irrelevant
MadeHow;Saddle;33;Drings are used to hold items such as canteens or ropes,Irrelevant
MadeHow;Saddle;34;A typical saddle includes a seat for the rider skirts panels and flaps that protect the horse from the riders legs and vice versa a girth that fits around the stomach of the horse and keeps the saddle stable and stirrups for the riders feet,Irrelevant
MadeHow;Saddle;35;Drings are used to hold items such as canteens or ropes,Irrelevant
MadeHow;Saddle;36;The stirrup leathers about 78 inch (22 centimeters) wide are made from read leather cowhide rawhide or buffalo hide,Irrelevant
MadeHow;Saddle;37;They go over the top of the bar and back down to the stirrups,Irrelevant
MadeHow;Saddle;38;A strong muslin cloth is placed over the tree from the pommel to the cantle to form a foundation,Relevant
MadeHow;Saddle;39;Pitch paint is then applied to waterproof it,Relevant
MadeHow;Saddle;40;Next strips of white serge a woolen material are stretched and fastened tightly with small nails from the head of the tree at the pommel to the cantle,Relevant
MadeHow;Saddle;41;Stretch canvas is then positioned over the serge and nailed in place,Relevant
MadeHow;Saddle;42;This forms the base of the seat,Irrelevant
MadeHow;Saddle;43;Small pieces of shaped felt and leather (called bellies) are placed on the edges of the tree at the broadest part of the seat so that when the seat is eventually made it will not drop away at the edges,Relevant
MadeHow;Saddle;44;A piece of serge is then tightly stretched and stitched down to the canvas layer to make the shape of the seat,Relevant
MadeHow;Saddle;45;Next a small slit is made so that the space between the serge and canvas can be lightly stuffed with wool to give the seat resilience and to prevent the tree itself being felt through the leather seat,Relevant
MadeHow;Saddle;46;Pigskin is now dampened and stretched tightly and is then stretched over the seat,Relevant
MadeHow;Saddle;47;(The pigskin is dampened and stretched so that when it dries and shrinks a neat and tight final product will be achieved),Irrelevant
MadeHow;Saddle;48;The under panel which protects the horse from the girths is stitched and nailed into place on the tree,Relevant
MadeHow;Saddle;49;The under panel is usually made of pigskin leather or grained cowhide,Irrelevant
MadeHow;Saddle;50;Girth straps are attached to the saddle next,Relevant
MadeHow;Saddle;51;Made of soft leather these straps are very short,Irrelevant
MadeHow;Saddle;52;Attached to them are the girths whose purpose is to hold the saddle firmly in place by fastening them around the horses belly,Irrelevant
MadeHow;Saddle;53;These girths are made in 78inch or oneinch (254 centimeters) thick sizes and they can range in length from 36 inches (9144 centimeters) for a tiny pony to 54 inches (137 centimeters) for a large horse (these measurements include the buckles),Irrelevant
MadeHow;Saddle;54;Girths are made of soft leather mohair or nylon,Irrelevant
MadeHow;Saddle;55;The outer panels made of leather are stuffed with felt wool or plastic foam and are covered in either leather serge or linen,Relevant
MadeHow;Saddle;56;They are attached underneath the saddle,Irrelevant
MadeHow;Saddle;57;Leather skirts are then sewn just above the outer panel,Relevant
MadeHow;Saddle;58;Drings (also known as tiedowns) are now attached to the saddle,Relevant
MadeHow;Saddle;59;Usually about one inch wide the Drings are made of rawhide and have strings attached to them,Irrelevant
MadeHow;Salsa;1;The salsa manufacturer purchases fresh frozen or dehydrated produce such as tomatoes peppers and onions from growers,Irrelevant
MadeHow;Salsa;2;Other ingredients such as vinegar tomato paste spices or additives are purchased from manufacturers in processed form,Irrelevant
MadeHow;Salsa;3;The tomatoes are first inspected then peeled using lye,Relevant
MadeHow;Salsa;4;The stems seeds and any residual skin are then removed,Relevant
MadeHow;Salsa;5;Some salsa manufacturers roast their green chili peppers before washing them,Relevant
MadeHow;Salsa;6;Next the stem seeds and calyx are removed,Relevant
MadeHow;Salsa;7;The chili peppers are then blanched and the pH value or acid count is adjusted using citric acid,Relevant
MadeHow;Salsa;8;All other produce is cleaned by passing the vegetables through tanks of water or by spraying under high water pressure,Relevant
MadeHow;Salsa;9;The inedible parts of these vegetables (such as garlic peel stems or onion skins) are removed by processing machines,Relevant
MadeHow;Salsa;10;The vegetables are then cut using standard machines that are preset to the desired level of fineness,Relevant
MadeHow;Salsa;11;To make chunky salsa the vegetables are usually diced while the fresh cilantro is minced,Relevant
MadeHow;Salsa;12;To make smoother salsa all the vegetables are processed to the same consistency as the tomatoes,Relevant
MadeHow;Salsa;13;Most salsa is not fresh due to longdistance transport of the product from manufacturing plants to retail outlets,Irrelevant
MadeHow;Salsa;14;Because it is important for the product to have a long shelflife heating the salsa is necessary to prohibit the growth of mold within the container before purchase,Relevant
MadeHow;Salsa;15;Most salsa however is minimally processed,Relevant
MadeHow;Salsa;16;The tomato paste or processed tomatoes water vinegar and spices are placed in a premix kettle that is large enough to hold several batches of salsa,Relevant
MadeHow;Salsa;17;This mixture is then placed in a batch kettle along with the other ingredients such as onions and chili peppers,Relevant
MadeHow;Salsa;18;Salsa may be slow or fast cooked or in the case of fresh salsa steam cooked,Relevant
MadeHow;Salsa;19;Cooking time and temperature vary the slow method subjects the salsa to a low temperature of 163 degrees Fahrenheit (71 degrees Celsius) for 45 minutes while the fast method subjects the salsa to a high temperature of 253 degrees Fahrenheit (121 degrees Celsius) for 30 seconds under pressure,Irrelevant
MadeHow;Salsa;20;After cooking the salsa is ladled into glass jars plastic bottles or other containers that are usually made from heatresistant polyethylene or polypropylene,Relevant
MadeHow;Salsa;21;Fresh salsa is placed into the container cold and then steam heated while cooked salsa is placed into the container while it is still warm,Relevant
MadeHow;Salsa;22;The machine that fills the containers does so by volume,Irrelevant
MadeHow;Salsa;23;The jars or containers are then sealed and cooled in cold water or air,Relevant
MadeHow;Salsa;24;This process vacuumseals the product because the heated salsa cools and contracts producing a partial vacuum under the seal,Relevant
MadeHow;Salsa;25;Jars and plastic containers that are not preprinted with product information are labeled and then packed in corrugated cardboard boxes to be shipped to stores,Relevant
MadeHow;Sandpaper;1;A typical sanding belt originates with the manufacture of a large roll of coated abrasive containing an X weight cotton fabric backing 100 grit aluminum oxide and resin bond,Irrelevant
MadeHow;Sandpaper;2;Production starts when the make coat is applied to one side of the backing material,Relevant
MadeHow;Sandpaper;3;The next step applying the abrasive mineral is the most important in the manufacturing process because it determines the orientation and density of the mineral,Relevant
MadeHow;Sandpaper;4;In the past the backing with the first layer of adhesive passed under a controlled stream of abrasive which applied a thin layer of randomly oriented grit,Irrelevant
MadeHow;Sandpaper;5;Today the backing is passed adhesive side down over a pan of abrasives that have been electrostatically charged—given an electric charge opposite to the backing,Irrelevant
MadeHow;Sandpaper;6;The opposite charge causes the abrasive to adhere evenly to the backing resulting in a very sharp fastcutting coated abrasive tool with the maximum life possible,Irrelevant
MadeHow;Sandpaper;7;Controlling mineral density on the flexible backing gives rise to two important variations in product design openand closedcoat abrasives,Irrelevant
MadeHow;Sandpaper;8;An opencoat product contains abrasives grains that cover from 50 to 70 percent of the surface area of the backing,Irrelevant
MadeHow;Sandpaper;9;This lower density allows the finished product to be flexible and prevents it from clogging or loading with bits of work material,Relevant
MadeHow;Sandpaper;10;In closedcoat products the mineral covers 100 percent of the available surface area making the finished products better for finishing applications and more suitable for rougher handling than opencoat products,Irrelevant
MadeHow;Sandpaper;11;Once the grain has been imbedded in the make coat the roll is dried and moved on for application of the size coat,Relevant
MadeHow;Sandpaper;12;Following application of the size coat the roll is dried again and cured under carefully controlled temperature and humidity conditions,Relevant
MadeHow;Sandpaper;13;The finished product is then wound on a large spool and shipped to the companies that will convert it into sanding belts or other items,Relevant
MadeHow;Sandpaper;14;Additional materials and processes may be included to give the converted product special characteristics,Relevant
MadeHow;Sandpaper;15;One such treatment is the addition of a grinding aid in the size coat that improves grinding of some metals in highpressure applications,Relevant
MadeHow;Sandpaper;16;Another treatment entails applying a pressuresensitive adhesive to the nonabrasive side of the backing to make some types of sanding disks,Irrelevant
MadeHow;Sandpaper;17;Material may be also added to reduce the static electricity that is generated when a belt is used on wood,Relevant
MadeHow;Sandpaper;18;Passing the roll through two closely spaced steel rollers in a process called satining crushes protruding minerals and leaves a product with uniform thickness designed for fine finishing applications,Irrelevant
MadeHow;Sandpaper;19;Before the coated abrasive roll is converted into a belt or other product it is systematically flexed or bent to break the continuous layer of adhesive bond,Relevant
MadeHow;Sandpaper;20;This flexing is necessary because the freshly manufactured roll is so stiff that it otherwise would not perform properly when converted into other products,Relevant
MadeHow;Sandpaper;21;Flexing can be applied in either a single direction or in multiple directions,Irrelevant
MadeHow;Sandpaper;22;Single direction flexing breaks the bond usually at a 90 degree angle to the edge of the roll,Irrelevant
MadeHow;Sandpaper;23;For special applications in which the belt must accurately conform to contours of a part surface single direction flexing is applied along lines parallel to the sides of the belt,Irrelevant
MadeHow;Sandpaper;24;Multiple flexing breaks the bond at 45 degree angles to the sides of the belt in a crisscross pattern or in a combination of 90 degree and 45 degree directions,Irrelevant
MadeHow;Sandpaper;25;Although the latter produces a very flexible belt such flexing greatly reduces the useful life of the product,Irrelevant
MadeHow;Sandpaper;26;Converting roll material into abrasive belts starts with cutting strips of coated abrasives to the desired width,Relevant
MadeHow;Sandpaper;27;Each strip is then cut to the proper length and the ends are joined together,Relevant
MadeHow;Sandpaper;28;The joint in common belts is an overlapping splice at 45 degrees,Irrelevant
MadeHow;Sandpaper;29;Narrow belts are spliced at a more acute angle and wide belts at a greater angle,Relevant
MadeHow;Sandpaper;30;A variety of splicing techniques can be applied depending upon the importance of changes in belt thickness at the slice and the amount of stress the belt will receive during use,Irrelevant
MadeHow;Sandpaper;31;One common practice in preparing a splice for joining is skiving a process that removes a layer of abrasive or backing from the ends of the belt,Irrelevant
MadeHow;Sandpaper;32;To minimize thickness of joints in products used for finishing applications both ends are skived,Relevant
MadeHow;Sandpaper;33;Coarsegrained products which are used for less precise applications are skived on one end only,Relevant
MadeHow;Sandpaper;34;Conversion of other products proceeds similarly,Irrelevant
MadeHow;Sandpaper;35;For example sanding disks begin with a properly sized section of roll material and a machine punches out the individual disks complete with the hole in the center,Irrelevant
MadeHow;Satellite Dish;1;To make fiberglass suitable for dish manufacture a sheet molding compound mixture that includes reflective metallic material and ultraviolet scattering compositions is mixed with resin calcium carbonate and a catalyst cure,Relevant
MadeHow;Satellite Dish;2;This mixture forms a paste that is poured onto a sheet of polyethylene film that has fiberglass added in chopped form,Relevant
MadeHow;Satellite Dish;3;The result is a sheet layered with the compound paste fiberglass and the polyethylene film,Relevant
MadeHow;Satellite Dish;4;This sheet is then pressed at 89 degrees Fahrenheit (30 degrees Celsius) to mature,Relevant
MadeHow;Satellite Dish;5;To shape the sheet into the desired parabolic shape it is pressed at high pressure (of 14002200 metric tons),Relevant
MadeHow;Satellite Dish;6;The dish is then trimmed cooled and painted,Relevant
MadeHow;Satellite Dish;7;After the paint has dried the dish is packed for shipment in sturdy boxes,Relevant
MadeHow;Satellite Dish;8;For metallic dishes the common metal of choice is aluminum,Irrelevant
MadeHow;Satellite Dish;9;This type of dish can be assembled in sections called petals or all at once,Irrelevant
MadeHow;Satellite Dish;10;An aluminum plate is perforated with a punching die creating tiny holes,Relevant
MadeHow;Satellite Dish;11;The size of these holes are contingent on the manufacturers preference,Irrelevant
MadeHow;Satellite Dish;12;Larger holes mean greater loss of the signal so fairly small holes are selected,Relevant
MadeHow;Satellite Dish;13;Another factor in the selection of hole size is the power of the broadcasting satellite,Irrelevant
MadeHow;Satellite Dish;14;Newer more powerful satellites require a hole size that is approximately half that required for older less powerful satellites,Relevant
MadeHow;Satellite Dish;15;The newly perforated aluminum plate is then heated stretched over a mold cooled and trimmed,Relevant
MadeHow;Satellite Dish;16;A paint powder coating for protection is then applied using an electrostatic charge in which the paint is given an opposite electrical charge from the plate,Relevant
MadeHow;Satellite Dish;17;The dish or petal is then heated to melt the powder and seal the paint on,Relevant
MadeHow;Satellite Dish;18;The petals are usually sealed together with ribs in the factory,Relevant
MadeHow;Satellite Dish;19;Although some current home satellite dishes are very small—only about 3 feet in diameter—manufacturers have begun to introduce even smaller dishes that have a diameter of only 18 inches and can fit on a window sill or a porch,Irrelevant
MadeHow;Satellite Dish;20;Mesh petals are made from aluminum that is extruded—forced into a die of the proper shape,Irrelevant
MadeHow;Satellite Dish;21;They are usually joined together on site by sliding them into aluminum ribs that attach to the hub and then securing them with metal pins,Relevant
MadeHow;Satellite Dish;22;All dishes when complete will have the necessary equipment (the feed horn the amplifier etc) installed in the factory,Relevant
MadeHow;Satellite Dish;24;When the dish has been set up at the local dealer it is transported to the site location on a open trailer,Relevant
MadeHow;Satellite Dish;25;Satellite dishes can be installed either by professionals or by the purchaser with assistance from the retailer if necessary,Irrelevant
MadeHow;Satellite Dish;26;The method selected depends upon the size of the dish and the mechanical expertise of the purchaser,Irrelevant
MadeHow;Satellite Dish;27;An installation site reasonably clear of obstructions not more than 246 feet (75 meters) from the house is selected,Relevant
MadeHow;Satellite Dish;28;Site selection is also contingent on local building codes and the possibility of microwave interference from radio and television towers in the vicinity,Relevant
MadeHow;Satellite Dish;29;Once a site is selected the base must be installed first,Relevant
MadeHow;Satellite Dish;30;The base of most satellite dishes consists of a concrete foundation that extends below the frost line,Irrelevant
MadeHow;Satellite Dish;31;A clayey soil is excellent while sandy or rocky soil requires more concrete,Irrelevant
MadeHow;Satellite Dish;32;A base tube filled with concrete is then set into the concrete foundation,Relevant
MadeHow;Satellite Dish;33;Some satellite dishes require a slab mount installation a method considered to be more stable than typical base construction,Relevant
MadeHow;Satellite Dish;34;In some cases slab mount installation is necessary since the site selected for the placement of the satellite dish is unstable,Relevant
MadeHow;Satellite Dish;35;The slab is generally 16 feet (5 meter) square and 32 feet (1 meter) deep,Irrelevant
MadeHow;Satellite Dish;39;Soil is excavated to the proper depth and the concrete is poured,Relevant
MadeHow;Satellite Dish;40;A triangular steel mount fixture is then embedded into the concrete,Relevant
MadeHow;Satellite Dish;41;Next the pedestal is attached to either the base tube or the triangular steel mount fixture,Relevant
MadeHow;Satellite Dish;42;The elevation arm is then attached to the pedestal,Relevant
MadeHow;Satellite Dish;43;The mounted satellite dish must be aligned in order to point toward the satellite,Relevant
MadeHow;Satellite Dish;44;The angle at which the dish is eventually situated will vary according to which satellite is selected and at what latitude the dish is located,Irrelevant
MadeHow;Satellite Dish;45;Coaxial cables connect the satellite to the receiver that is located in the house near the television,Relevant
MadeHow;Satellite Dish;46;A trench must be dug for these cables which are placed into a pipe before being buried,Irrelevant
MadeHow;Screwdriver;1;Making a flattip or slotted screwdriver is not very different than making any other configuration,Irrelevant
MadeHow;Screwdriver;2;Variations between a flattip and a Phillips screwdriver will be discussed later in this entry,Irrelevant
MadeHow;Screwdriver;3;First coils of green wire (wire that has not yet been drawn to final size) are delivered to a factory in large coils some as heavy as 3000 pounds (1362 kilograms),Relevant
MadeHow;Screwdriver;4;The wire is usually about 375 inch (95 centimeter) in diameter,Irrelevant
MadeHow;Screwdriver;5;The wire is then machinedrawn to the diameter necessary for the production run one adjustable drawing machine can produce any required diameter,Relevant
MadeHow;Screwdriver;6;In drawing wire is fed through a die with a reducing aperture until it assumes the proper size,Relevant
MadeHow;Screwdriver;7;After the wire is drawn it is annealed (heat treated) to obtain the correct tensile strength in the metal,Relevant
MadeHow;Screwdriver;8;This process involves baking the wire at a temperature of about 1350 degrees Fahrenheit (732 degrees Celsius) for 12 hours,Relevant
MadeHow;Screwdriver;9;Next the wire is straightened by a string forge and then transferred to a cold forming press which cuts the wire to the appropriate length and forms the tip of the screwdriver and the wings that will fit into the handle,Relevant
MadeHow;Screwdriver;10;These wings can be seen through a clear or semiclear plastic handle,Irrelevant
MadeHow;Screwdriver;11;The newly formed bar (the actual screwdriver without Ats handle) is then heat treated in an inline furnace at approximately 1555 degrees Fahrenheit (846 degrees Celsius),Relevant
MadeHow;Screwdriver;12;This is a continuous flow process and as the bars come through the furnace they fall into an oil quench for cooling,Relevant
MadeHow;Screwdriver;13;The bars are then placed in a draw back oven (450 to 500 degrees Fahrenheit or 232 to 259 degrees Celsius) and baked to a specified hardness,Relevant
MadeHow;Screwdriver;14;Consumer model screwdrivers are nickelplated—covered with a protective coating of nickel—before assembly,Relevant
MadeHow;Screwdriver;15;If the screwdriver is designated for professional use it is transferred to a handgrinding department where the tip is ground to size,Relevant
MadeHow;Screwdriver;16;The shank is chemically milled and then polished,Relevant
MadeHow;Screwdriver;17;The screwdriver then goes to a nickel flash bath and is electrically chrome plated,Relevant
MadeHow;Screwdriver;18;After the cold forming press (step #3 above) cuts the wire the screwdriver is sent to a swage and grind operation where dies form blades for the tip from the heated wire,Relevant
MadeHow;Screwdriver;19;The tool is then ground and the wings are formed,Relevant
MadeHow;Screwdriver;20;If a professional model is being produced the bar goes to a tipping operation (an automatic tipping machine that creates the bullet point) and then to a profilator machine (a machine that cuts a profile),Irrelevant
MadeHow;Screwdriver;21;This latter machine cuts the four grooves or slots on the sides above the point,Relevant
MadeHow;Screwdriver;22;The wire is then winged and heattreated in the same way as the flattip screwdriver bars,Relevant
MadeHow;Screwdriver;23;Consumer model Phillips screwdrivers are nickel plated while the professional model is polished and nickelchrome plated,Relevant
MadeHow;Screwdriver;24;The handles of a screwdriver are usually made of cellulose acetate it is delivered to the factory in powder form (cellulose acetate rosin) and then mixed with a liquid plasticizer in a giant blender that holds approximately 1000 pounds (454 kilograms) of the mixed material,Irrelevant
MadeHow;Screwdriver;25;If a colored handle is desired pigments are added into the blender,Relevant
MadeHow;Screwdriver;26;The resulting paste which has the consistency of thick cake batter then goes to an extruder (a machine that forces a material out through an opening the way a meat grinder forces out strings of meat) which extrudes a solid piece of cellulose acetate,Irrelevant
MadeHow;Screwdriver;27;The cellulose acetate is then cut into small pellets,Relevant
MadeHow;Screwdriver;28;Next the pellets are fed into another extruder that extrudes the materials for the handles in bars that are 8 to 10 feet (24 to 3 meters) in length,Relevant
MadeHow;Screwdriver;29;If a twocolor handle is desired a second extruding machine can be attached to the first to extrude a single twocolor rod,Relevant
MadeHow;Screwdriver;30;The rods are then put into an automatic turning machine which shapes the handles and cuts them to the final length,Relevant
MadeHow;Screwdriver;31;A hole is then drilled in the handle where the bar will be inserted,Relevant
MadeHow;Screwdriver;32;The handles are machine washed and dried to remove grease oil and excess scraps from the turning machine and the extruder,Relevant
MadeHow;Screwdriver;33;Next the handles are immersed in an acetone vapor bath which melts and smooths the outside of the handle,Relevant
MadeHow;Screwdriver;34;The acetone vapor is highly flammable and this process takes place inside an explosionproof room,Irrelevant
MadeHow;Screwdriver;35;The method of final assembly depends on the quality of the tool being produced,Relevant
MadeHow;Screwdriver;36;Professional models are assembled individually on a horizontal assembly machine that hydraulically forces the bar into the plastic handle,Relevant
MadeHow;Screwdriver;37;The handles are branded by a hot stamp immediately before going into the assembly machine,Relevant
MadeHow;Screwdriver;38;This assembly process requires one skilled operator for each machine,Irrelevant
MadeHow;Screwdriver;39;Other models might be assembled on hydraulic presses three at a time,Relevant
MadeHow;Screwdriver;40;The least expensive models are assembled six at a time on one machine and placed by robot on a skin card machine that packages the screwdrivers for massmarket sale,Relevant
MadeHow;Screwdriver;41;Before packaging the screwdrivers might be fitted with a special handle cover depending on need,Relevant
MadeHow;Screwdriver;42;A rubber cap fitted over a screwdriver handle for example might be more comfortable for a professional using his tool five or six hours a day,Relevant
MadeHow;Screwdriver;43;A large handle with deep grooves might be ideal for some workers while the home handyman who assembles a lamp or cabinet once every six months may not need or want to pay for the extra comfort,Relevant
MadeHow;Seismograph;1;A site might interest a seismologist for a number of reasons,Irrelevant
MadeHow;Seismograph;2;The most obvious one is that the region is earthquakeprone perhaps because it is adjacent to a fault or fracture in the earths crust,Irrelevant
MadeHow;Seismograph;3;Such fractures dislodge one of the blocks of earth adjoining them causing the block to shift higher lower or horizontally parallel to the fault and leaving the area vulnerable to further instability,Irrelevant
MadeHow;Seismograph;4;A seismograph might also be installed in a region currently without one so that seismologists can gather data for a more complete picture of the area,Irrelevant
MadeHow;Seismograph;5;Although some seismographs are placed in university or museum basements for educational purposes the ideal location for earthquake research would be more remote,Irrelevant
MadeHow;Seismograph;6;To record the earths seismic movements more accurately a seismograph should be placed where traffic and other vibrations are minimal,Irrelevant
MadeHow;Seismograph;7;In some cases an unused tunnel can be appropriated,Irrelevant
MadeHow;Seismograph;8;Other times a natural underground cavern is available,Irrelevant
MadeHow;Seismograph;9;Seismological researchers may even choose to dig a well and place the instrument inside if no other underground hole exists where a seismograph is deemed desirable,Irrelevant
MadeHow;Seismograph;10;An aboveground seismograph is also possible but it must rest above a solid rock foundation,Irrelevant
MadeHow;Seismograph;11;At a specialized factory the component parts of the seismograph are assembled and prepared for shipment,Relevant
MadeHow;Seismograph;12;First the pendulum is attached to either a soft spring (if its a vertical unit) or a wire (if its a horizontal unit) and suspended within a cylinder While horizontal seismometers contain a pendulum attached to a wire vertical units use a spring instead,Relevant
MadeHow;Seismograph;13;When the ground vibrates during an earthquake the pendulum remains still while the recorder moves thus creating a record of the earths movement,Irrelevant
MadeHow;Seismograph;14;Some recorders consist of a coil that generates an electrial signal which in turn is stored in computer memory for later printing,Irrelevant
MadeHow;Seismograph;15;A less sophisticated seismograph will have either a mirror that shines light onto lightsensitive paper a pen that writes with quickdrying ink upon a roll of paper or a heat pen that marks thermal paper,Irrelevant
MadeHow;Seismograph;16;While horizontal seismometers contain a pendulum attached to a wire vertical units use a spring instead,Irrelevant
MadeHow;Seismograph;17;When the ground vibrates during an earthquake the pendulum remains still while the recorder moves thus creating a record of the earths movement,Irrelevant
MadeHow;Seismograph;18;Some recorders consist of a coil that generates an electrial signal which in turn is stored in computer memory for later printing,Irrelevant
MadeHow;Seismograph;19;A less sophisticated seismograph will have either a mirror that shines light onto lightsensitive paper a pen that writes with quickdrying ink upon a roll of paper or a heat pen that marks thermal paper between electric coils,Irrelevant
MadeHow;Seismograph;20;Next the coils are wired to printed circuit boards and placed inside the seismograph body,Relevant
MadeHow;Seismograph;21;The whole unit can in turn be connected to a digital audio tape recorder which receives the current generated by the coils and transferred to the circuit boards,Relevant
